Workload: 630 seconds, 9917 total requests, peak 44 RPS
No local images at /images; fetching from GitHub...
  fetched n02123045_tabby.JPEG (86704 bytes)
  fetched n01440764_tench.JPEG (100582 bytes)
  fetched n01514859_hen.JPEG (96736 bytes)
  fetched n02085620_Chihuahua.JPEG (146425 bytes)
  fetched n02123159_tiger_cat.JPEG (74104 bytes)
  fetched n02124075_Egyptian_cat.JPEG (58654 bytes)
  fetched n02085936_Maltese_dog.JPEG (23644 bytes)
  fetched n02086079_Pekinese.JPEG (199674 bytes)
  fetched n02086240_Shih-Tzu.JPEG (316851 bytes)
  fetched n02086646_Blenheim_spaniel.JPEG (43163 bytes)
Endpoint: http://dispatcher-service:8000/predict
Results dir: /results
Spawned all the processes. Waiting to finish...
total seconds: 630
Sent 9917 requests; 6451 reported success by barazmoon
Wrote 9910 rows to /results/results.csv
=== RESULTS_CSV_BEGIN hpa70 ===
request_id,t_start,t_end,latency_ms,status,server_latency_s
76ee92f2-d349-40cb-a4fb-9edb7c39e746,1782296236.185375,1782296236.369457,184.08,200,0.0639134520006337
a4c73828-28bb-42dc-afc1-2704f5985fe2,1782296236.193323,1782296236.369181,175.86,200,0.06834866799999872
491566e3-165d-4510-b4c7-976597bca931,1782296236.444851,1782296236.533509,88.66,200,0.08155264899960457
5f6dca13-c69e-450b-83b2-491b5544ee0e,1782296236.491066,1782296236.610451,119.38,200,0.09445258499999909
64cb100f-2346-4e3f-a784-527b7b294870,1782296236.865311,1782296236.930163,64.85,200,0.05873128100029135
c25b8758-ae07-4cc5-bb9a-73793e13ec05,1782296237.030744,1782296237.092618,61.87,200,0.05605666500014195
102246bc-955b-45c5-b3be-a3b453ed8982,1782296237.144012,1782296237.208771,64.76,200,0.05930941200040252
ce74eeb2-77cd-4c7e-97a4-8f21227b06cc,1782296237.165991,1782296237.233798,67.81,200,0.060914995000530325
5d0cce46-3a89-4935-9ea6-ae3aa0a8522c,1782296237.187226,1782296237.295226,108.00,200,0.08281842499945924
6842dbfd-ba1f-4216-bb34-bbcb4093b2c6,1782296237.194511,1782296237.295490,100.98,200,0.05971692399998574
40d55e6b-b857-456f-b747-1d102ae98579,1782296237.446024,1782296237.513131,67.11,200,0.0607704880003439
bca58b21-d2e6-495e-a5c6-e103820f4ec3,1782296237.492990,1782296237.585677,92.69,200,0.07106890999966708
8206b5c5-35fe-4f70-8ea3-2a8597b77e17,1782296237.867526,1782296237.932007,64.48,200,0.05900318200019683
6615a240-3728-41f6-a9bd-b4492ac0a32b,1782296238.032356,1782296238.093412,61.06,200,0.05553538500043942
9218bc50-fc33-4240-abf1-9206147129e2,1782296238.146899,1782296238.217037,70.14,200,0.06489174699981959
573915b3-e166-463f-80ed-418f4e05b08c,1782296238.167987,1782296238.289986,122.00,200,0.071494107000035
7cd0485a-994a-46fd-946b-053e7467693d,1782296238.188429,1782296238.257320,68.89,200,0.06156322400056524
cf421c57-7e56-4dba-8d28-bebe389a904d,1782296238.196374,1782296238.324586,128.21,200,0.06629473900011362
7344ef4b-eeea-46d5-9cf3-7ad4adb3a589,1782296238.447997,1782296238.514731,66.73,200,0.061489410999456595
9668f085-314e-4c07-961b-b18c20380266,1782296238.504074,1782296238.583990,79.92,200,0.06619158399917069
a3dfa6c7-70b1-43d1-bfdd-27fc9932a329,1782296238.933801,1782296239.013105,79.30,200,0.07073759200011409
cebceaae-5593-48f9-b2fb-2f1bc803e529,1782296239.120637,1782296239.185439,64.80,200,0.05918332300007023
5fca7424-ff1e-43da-82b9-2dba065959d4,1782296239.250940,1782296239.336287,85.35,200,0.07944991000022128
3eceb28a-8877-45bd-935f-fc3a215f26f3,1782296239.275112,1782296239.507118,232.01,200,0.08466494100048294
157faa91-1ca0-41fb-a7c1-df2a65a1d055,1782296239.299726,1782296239.507486,207.76,200,0.08191269700000703
836e49f2-5acc-41c8-a124-f0c984dd56ab,1782296239.308630,1782296239.581367,272.74,200,0.0734898910004631
fd14b047-b7f8-4260-bc2b-34cd4ccc095b,1782296239.544785,1782296239.661938,117.15,200,0.101844906000224
07f37ce5-6e26-47c4-903f-94cf26a2dd76,1782296240.046012,1782296240.155005,108.99,200,0.09716367300006823
4a68c6b9-f574-46f6-9ae4-8a698178cbac,1782296240.264816,1782296240.386715,121.90,200,0.11095348599974386
