ts,replicas,ready
1782297317.237,2,0
1782297318.237,2,0
1782297319.237,2,0
1782297320.238,2,0
1782297321.238,2,0
1782297322.238,2,0
1782297323.239,2,0
1782297324.239,2,0
1782297325.239,2,1
1782297326.239,2,1
1782297327.240,2,1
1782297328.240,2,1
1782297329.240,2,1
1782297330.241,2,1
1782297331.241,2,1
1782297332.242,2,1
1782297333.242,2,1
1782297334.242,2,2
1782297335.242,2,2
1782297336.243,2,2
1782297337.243,2,2
1782297338.243,2,2
1782297339.243,2,2
1782297340.244,2,2
1782297341.244,2,1
1782297342.244,2,1
1782297343.245,2,1
1782297344.245,2,1
1782297345.246,2,1
1782297346.246,2,1
1782297347.246,2,1
1782297348.247,2,1
1782297349.247,2,1
1782297350.248,2,1
1782297351.248,2,1
1782297352.249,2,1
1782297353.250,2,1
1782297354.250,2,1
1782297355.250,2,1
1782297356.251,2,1
1782297357.251,2,2
1782297358.251,2,2
1782297359.252,2,2
1782297360.252,2,2
1782297361.252,2,2
1782297362.253,2,1
1782297363.253,2,1
1782297364.253,2,1
1782297365.254,2,1
1782297366.254,2,1
1782297367.254,2,2
1782297368.255,2,2
1782297369.255,2,2
1782297370.256,2,2
1782297371.256,2,2
1782297372.256,2,2
1782297373.257,2,2
1782297374.257,2,2
1782297375.257,2,2
1782297376.257,2,2
1782297377.257,2,2
1782297378.258,2,2
1782297379.258,2,2
1782297380.258,2,2
1782297381.258,2,2
1782297382.258,2,2
1782297383.258,2,2
1782297384.258,2,2
1782297385.259,2,2
1782297386.259,2,2
1782297387.260,2,2
1782297388.260,2,2
1782297389.260,2,2
1782297390.260,2,2
1782297391.261,2,2
1782297392.261,2,2
1782297393.262,2,2
1782297394.262,2,2
1782297395.262,2,2
1782297396.263,2,2
1782297397.263,2,2
1782297398.263,2,2
1782297399.264,2,2
1782297400.264,2,2
1782297401.265,2,2
1782297402.265,2,2
1782297403.265,2,2
1782297404.266,2,2
1782297405.266,2,2
1782297406.267,2,2
1782297407.267,2,2
1782297408.268,2,2
1782297409.268,2,2
1782297410.268,2,2
1782297411.269,2,2
1782297412.269,2,2
1782297413.270,2,2
1782297414.270,2,2
1782297415.270,2,2
1782297416.271,2,2
1782297417.271,2,2
1782297418.271,2,2
1782297419.271,2,2
1782297420.271,2,2
1782297421.272,2,2
1782297422.272,2,2
1782297423.272,2,2
1782297424.273,2,2
1782297425.273,2,2
1782297426.274,2,2
1782297427.274,2,2
1782297428.274,2,2
1782297429.275,2,2
1782297430.275,2,2
1782297431.275,2,2
1782297432.276,2,2
1782297433.276,2,2
1782297434.276,2,2
1782297435.276,2,2
1782297436.277,2,2
1782297437.277,2,2
1782297438.277,2,2
1782297439.278,2,2
1782297440.278,2,2
1782297441.279,2,2
1782297442.279,2,2
1782297443.279,2,2
1782297444.279,2,2
1782297445.280,2,2
1782297446.280,2,2
1782297447.280,2,2
1782297448.281,2,2
1782297449.282,2,2
1782297450.282,2,2
1782297451.282,2,2
1782297452.282,2,2
1782297453.282,2,2
1782297454.283,2,2
1782297455.283,2,2
1782297456.283,2,2
1782297457.284,2,2
1782297458.284,2,2
1782297459.285,2,2
1782297460.285,2,2
1782297461.285,2,2
1782297462.285,2,2
1782297463.286,2,2
1782297464.286,2,2
1782297465.287,2,2
1782297466.287,2,2
1782297467.288,2,2
1782297468.288,2,2
1782297469.288,2,2
1782297470.289,2,2
1782297471.289,2,2
1782297472.289,2,2
1782297473.289,2,2
1782297474.289,2,2
1782297475.289,2,2
1782297476.290,2,2
1782297477.290,2,2
1782297478.290,2,2
1782297479.291,2,2
1782297480.291,2,2
1782297481.291,2,2
1782297482.291,2,2
1782297483.292,2,2
1782297484.292,2,2
1782297485.292,2,2
1782297486.292,2,2
1782297487.293,2,2
1782297488.293,2,2
1782297489.293,2,2
1782297490.294,2,2
1782297491.294,2,2
1782297492.294,2,2
1782297493.295,2,2
1782297494.295,2,2
1782297495.295,2,2
1782297496.296,2,2
1782297497.296,2,2
1782297498.296,2,2
1782297499.297,2,2
1782297500.297,2,2
